Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
70283,2007,06/27/2008,East Haven,83 HELLSTROM RD,147950.0,200000.0,0.73975,Single Family,Single Family,,,,
70695,2007,02/13/2008,Bridgeport,461 BROAD ST,421100.0,1825000.0,0.230739726,,,,,,
71509,2007,08/01/2008,Bridgeport,676 GOLDENROD AVENUE,124040.0,165000.0,0.751757576,Single Family,Single Family,11 - Court Order,,,
70347,2007,05/21/2008,Groton,85 ANN AVE,155750.0,199000.0,0.782663317,Single Family,Single Family,,,,POINT (-71.98169 41.38448)
70032,2007,10/30/2007,New Milford,14 NORTON LN,279090.0,412250.0,0.676992116,Single Family,Single Family,14 - Foreclosure,,,
70086,2007,06/16/2008,Thompson,369 LOWELL DAVIS RD,140500.0,246000.0,0.571138211,Single Family,Single Family,,,,
70172,2007,06/23/2008,Colchester,12 RAVEN RD,17800.0,20000.0,0.89,Single Family,Single Family,,MOBILE HOME,,
70102,2007,10/15/2007,Bridgeport,965B WILLIAM ST,28300.0,57500.0,0.492173913,Condo,Condo,,,,POINT (-73.18507 41.19735)
70084,2007,05/13/2008,North Branford,93 CLINTONVILLE RD #10,122850.0,204000.0,0.602205882,Condo,Condo,,,,
70652,2007,07/25/2008,Hamden,309 HILLFIELD RD,268310.0,332000.0,0.808162651,Single Family,Single Family,,,,
70256,2007,08/08/2008,Darien,2 ABBEY RD,492660.0,1182500.0,0.416625793,Single Family,Single Family,,,,
70648,2007,01/31/2008,Bridgeport,350 GROVERS AVE #2B,132240.0,272500.0,0.485284404,Condo,Condo,,,,POINT (-73.22352 41.15346)
70209,2007,08/11/2008,Ellington,46 SADDS MILL RD,175950.0,269900.0,0.651908114,Single Family,Single Family,,,,
70003,2007,10/11/2007,Sherman,10 SUNNY LN,388080.0,650000.0,0.597046154,Single Family,Single Family,,,,
70126,2007,04/09/2008,Brookfield,57 OLD MIDDLE RD,296440.0,348000.0,0.85183908,Single Family,Single Family,,,,POINT (-73.41147 41.501)
70462,2007,08/28/2008,Branford,29 PEDDLARS DR,117900.0,180000.0,0.655,Condo,Condo,,,,
70033,2007,11/19/2007,Colchester,292 MIDDLETOWN RD,154700.0,180000.0,0.859444444,Single Family,Single Family,14 - Foreclosure,,,
70630,2007,07/24/2008,Fairfield,82 BROOKVIEW AVE,421890.0,615000.0,0.686,Single Family,Single Family,,,,
70251,2007,08/15/2008,Brookfield,113 OBTUSE HILL RD,322280.0,390000.0,0.826358974,Single Family,Single Family,,,,
70571,2007,06/17/2008,Stratford,STONYBROOK GARDEN COOP,19110000.0,130000.0,147.0,,,08 - Part Interest,CO-OP,,
70117,2007,06/09/2008,Canton,LAWTON RD,52860.0,75500.0,0.70013245,,,,,,
70299,2007,08/22/2008,Avon,25 WESTLAND RD,555880.0,900000.0,0.617644444,Single Family,Single Family,,,,
70007,2007,11/13/2007,Middlefield,112 LAKE SHORE DR,239800.0,515000.0,0.465631068,Single Family,Single Family,,,,
70145,2007,12/28/2007,Enfield,16 RIDGE RD,175630.0,211000.0,0.832369668,Single Family,Single Family,,,,POINT (-72.57104 42.00756)
70327,2007,03/13/2008,East Hartford,103 MANOR CIR,113830.0,167000.0,0.681616766,Single Family,Single Family,,,,
70287,2007,01/08/2008,New Haven,42 WOLCOTT ST,147070.0,185000.0,0.794972973,Two Family,Two Family,,,,
70097,2007,05/13/2008,Plymouth,88 NORTH RIVERSIDE AVE,112200.0,145000.0,0.773793103,Single Family,Single Family,,,,
70176,2007,12/03/2007,Milford,69 BEECHWOOD AVE,180100.0,232000.0,0.776293103,Single Family,Single Family,,,,
71292,2007,06/16/2008,Bridgeport,143-145 OLIVE ST,105220.0,150000.0,0.701466667,Three Family,Three Family,14 - Foreclosure,,,
70026,2007,12/10/2007,East Granby,9 SEYMOUR RD,130100.0,198000.0,0.657070707,Single Family,Single Family,,ESTATE,,
70233,2007,08/27/2008,Ledyard,5 WINDWARD LN,174300.0,268000.0,0.650373134,Single Family,Single Family,,,,
70081,2007,08/29/2008,Bethany,378 DOWNS RD,348940.0,725000.0,0.481296552,Single Family,Single Family,,,,POINT (-72.95702 41.41814)
70051,2007,12/03/2007,Seymour,19 EVERGREEN TERR,358190.0,465000.0,0.770301075,Single Family,Single Family,,,,
70037,2007,02/27/2008,Bethany,861 LITCHFIELD TPKE,178470.0,325000.0,0.549138462,Single Family,Single Family,,,,
70228,2007,11/01/2007,Bridgeport,233 LEWIS ST,4780.0,10000.0,0.478,,,,,,
70346,2007,05/30/2008,Enfield,14 MATHEWSON AVE,139090.0,201500.0,0.690272953,Single Family,Single Family,,,,POINT (-72.59644 41.98419)
71236,2007,06/04/2008,Bridgeport,2370 NORTH AVE #3G,49550.0,108000.0,0.458796296,Condo,Condo,14 - Foreclosure,,,
